geonameid,Place Name,latitude,longitude,feature_class,Category,State Code,City Code,Estimated Visitors,Tourism Rank,Popularity Level
10677477,Tulzar,33.37161,75.85862,T,Mountain,12.0,18.0,5000,2.79,Less Explored
10677483,Thathrl,33.3862,75.89922,T,Mountain,12.0,18.0,5000,2.79,Less Explored
10677484,Shairdhar,33.38007,75.88832,T,Mountain,12.0,18.0,5000,2.79,Less Explored
10677496,Tsurwani,33.42818,75.89213,T,Mountain,12.0,18.0,5000,2.79,Less Explored
10677497,Khankhu Dhar,33.42206,75.87729,T,Mountain Range,12.0,Unknown,10000,2.81,Less Explored
10677523,Kharad,33.49545,75.95574,T,Mountain Range,12.0,Unknown,10000,2.81,Less Explored
10677529,Bhadra,33.44519,75.97616,T,Mountain Range,41.0,Unknown,10000,2.81,Less Explored
10677531,Iyargad,33.43058,75.94973,T,Mountain,12.0,18.0,5000,2.79,Less Explored
10677535,Klanyal,33.37993,75.95093,T,Mountain,12.0,18.0,5000,2.79,Less Explored
10677541,Langot,33.35928,75.94269,T,Mountain,12.0,18.0,5000,2.79,Less Explored
10677574,Tokar,33.27497,75.99148,T,Mountain,12.0,18.0,5000,2.79,Less Explored
10677589,Dovi-o-Mandar,33.23397,75.81581,S,Temple,12.0,18.0,20000,2.83,Less Explored
10677606,Nagin Dhar,33.19829,75.76294,T,Mountain,12.0,18.0,5000,2.79,Less Explored
10677621,Bonshir,33.15852,75.81071,T,Mountain,12.0,18.0,5000,2.79,Less Explored
10677680,Palel,33.0506,75.80436,T,Mountain,12.0,16.0,5000,2.79,Less Explored
10677683,Durupira,33.05348,75.83199,T,Mountain,12.0,16.0,5000,2.79,Less Explored
10677690,Reoshir,33.06102,75.77283,S,Temple,12.0,16.0,20000,2.83,Less Explored
10677743,Batiri-da-siru,33.05952,75.85241,T,Mountain,12.0,16.0,5000,2.79,Less Explored
10677777,Kale,33.11572,75.8374,T,Mountain,12.0,16.0,5000,2.79,Less Explored
10677832,Selo Paliri,33.21193,75.90358,T,Mountain,12.0,18.0,5000,2.79,Less Explored
10677874,Thalli,33.19929,75.98125,T,Mountain,12.0,18.0,5000,2.79,Less Explored
10677937,Gashir,33.08909,75.97129,T,Mountain,12.0,16.0,5000,2.79,Less Explored
10677966,Khakri,33.02513,75.94258,T,Mountain,12.0,16.0,5000,2.79,Less Explored
10677996,Khanoi,33.19864,75.8674,T,Mountain,12.0,18.0,5000,2.79,Less Explored
10678003,Lal,34.40777,74.44857,T,Mountain,12.0,8.0,5000,2.79,Less Explored
10678056,Gurhagarh,32.63333,75.03458,T,Mountain,12.0,22.0,5000,2.79,Less Explored
10678492,Atpar,32.63524,75.34585,T,Mountain,12.0,7.0,5000,2.79,Less Explored
10678512,Rangot,32.62197,75.32197,T,Mountain,12.0,22.0,5000,2.79,Less Explored
10678616,Sed Bariwala Tibba,32.52757,75.27437,T,Mountain,12.0,7.0,5000,2.79,Less Explored
10678621,Gujrathiyan Temple,32.51382,75.33476,S,Temple,12.0,7.0,20000,2.83,Less Explored
10678624,Bawa Sidgoriya,32.51621,75.31622,T,Mountain,12.0,7.0,5000,2.79,Less Explored
10678643,Gurawala Tibba,32.50122,75.39269,T,Mountain,12.0,7.0,5000,2.79,Less Explored
10678692,Patang Thil,32.54866,75.38033,T,Mountain,12.0,7.0,5000,2.79,Less Explored
10678843,Samnabanj,32.72603,75.42132,T,Mountain,12.0,19.0,5000,2.79,Less Explored
10678854,Ramchand,32.74224,75.39909,T,Mountain,12.0,19.0,5000,2.79,Less Explored
10679147,Aima Saiyidan,32.3134,75.41862,S,Temple,23.0,662.0,20000,2.83,Less Explored
10679169,Ziarat Lakhdata,32.34325,75.42743,S,Shrine,12.0,7.0,10000,2.81,Less Explored
10679224,Mangota,32.47165,75.34577,S,Temple,12.0,7.0,20000,2.83,Less Explored
10679245,Pindla,32.48476,75.48919,T,Mountain,12.0,7.0,5000,2.79,Less Explored
10681702,Sona Lank,34.13315,74.85284,T,Island,12.0,Unknown,10000,2.81,Less Explored
10681703,Rupa Lank,34.10309,74.86665,T,Island,12.0,Unknown,10000,2.81,Less Explored
10681960,Nurpur,32.07867,75.27172,S,Temple,23.0,35.0,20000,2.83,Less Explored
10682065,Ziarat Ditto Shah,32.10638,75.41327,S,Shrine,23.0,35.0,10000,2.81,Less Explored
10682172,Malkana,32.19707,75.48451,S,Temple,23.0,662.0,20000,2.83,Less Explored
10682274,Jalhera Ziarat,32.08879,75.28131,S,Shrine,23.0,35.0,10000,2.81,Less Explored
10682278,Rawar Pir,32.02124,75.29656,S,Temple,23.0,35.0,20000,2.83,Less Explored
10682690,Surighat,32.52361,75.66439,T,Mountain,12.0,7.0,5000,2.79,Less Explored
10682711,Dariawala Naun,32.5499,75.61824,S,Temple,12.0,7.0,20000,2.83,Less Explored
10682883,Kunohala,32.71972,75.67238,T,Mountain,12.0,7.0,5000,2.79,Less Explored
10682908,Churtolu,32.73205,75.68212,T,Mountain,12.0,7.0,5000,2.79,Less Explored
10683105,Daderan,32.55524,75.7186,T,Mountain,12.0,7.0,5000,2.79,Less Explored
10683120,Mortan,32.53431,75.72948,T,Mountain,12.0,7.0,5000,2.79,Less Explored
10683153,Dugo,32.6044,75.65339,T,Mountain,12.0,7.0,5000,2.79,Less Explored
10685683,Auraha,25.4886,81.91435,S,Temple,36.0,175.0,20000,2.83,Less Explored
10685769,Asoka Piller,25.43202,81.86191,S,Historical Site,36.0,175.0,10000,2.81,Less Explored
10685784,Savda Dongar,21.97217,74.03414,T,Mountain,9.0,668.0,5000,2.79,Less Explored
10686355,Dhar Kundi,24.93225,81.05543,S,Temple,35.0,429.0,20000,2.83,Less Explored
